"Title","Link","AddressLine1","AddressLine2","City","State","Zip","Region"
"Bloomington Area Blood Donation Center","http://www.redcrossblood.org/donation-centers//locations/bloomington-area-blood-donation-center","505 West 98th St","","Bloomington","MN","55420","northcentral"
"Chippewa Valley Blood Donation Center","http://www.redcrossblood.org/donation-centers//locations/chippewa-valley-blood-donation-center","3485 East Hamilton Avenue","","Eau Claire","WI","54701","northcentral"
"Minneapolis Area Blood Donation Center","http://www.redcrossblood.org/donation-centers//locations/minneapolis-area-blood-donation-center","1201 West River Parkway","","Minneapolis","MN","55454","northcentral"
"North Suburban Blood Donation Center","http://www.redcrossblood.org/donation-centers//locations/north-suburban-blood-donation-center","1160 West County Road E","","Arden Hills","MN","55112","northcentral"
"St. Cloud Area Blood Donation Center","http://www.redcrossblood.org/donation-centers//locations/st-cloud-area-blood-donation-center","1301 W Saint Germain St","","Saint Cloud","MN","56301","northcentral"
"St. Paul Area Blood Donation Center","http://www.redcrossblood.org/donation-centers//locations/st-paul-area-blood-donation-center","176 Robert Street South","","Saint Paul","MN","55107","northcentral"
"Boise Donor Center","http://www.redcrossblood.org/donation-centers//locations/boise-donor-center","5380 Franklin Road","","Boise","ID","83705","lewisclark"
"Bozeman Donor Center","http://www.redcrossblood.org/donation-centers//locations/bozeman-donor-center","300 North Willson Avenue, Suite 103A","","Bozeman","MT","59715","lewisclark"
"Great Falls Donor Center","http://www.redcrossblood.org/donation-centers//locations/great-falls-donor-center","1300 28th Street South","","Great Falls","MT","59405","lewisclark"
"Helena Donor Center","http://www.redcrossblood.org/donation-centers//locations/helena-donor-center","3150 N Montana Avenue, Suite B","","Helena","MT","59602","lewisclark"
"Idaho Falls Donor Center","http://www.redcrossblood.org/donation-centers//locations/idaho-falls-donor-center","1165 E 17th Street","","Idaho Falls","ID","83404","lewisclark"
"Kalispell Donor Center","http://www.redcrossblood.org/donation-centers//locations/kalispell-donor-center","126 N Meridian Road","","Kalispell","MT","59901","lewisclark"
"Layton Donor Center","http://www.redcrossblood.org/donation-centers//locations/layton-donor-center","852 W Hill Field Road #B","","Layton","UT","84041","lewisclark"
"Lewiston Donor Center","http://www.redcrossblood.org/donation-centers//locations/lewiston-blood-center","508 Thain Road","","Lewiston","ID","83501","lewisclark"
"Missoula Donor Center","http://www.redcrossblood.org/donation-centers//locations/missoula-donor-center","2401 N. Reserve Street","","Missoula","MT","59808","lewisclark"
"Orem Donor Center","http://www.redcrossblood.org/donation-centers//locations/orem-donor-center","384 East 1300 South","","Orem","UT","84057","lewisclark"
"Pocatello Donor Center","http://www.redcrossblood.org/donation-centers//locations/pocatello-donor-center","Pineridge Mall","4155 Yellowstone #128B","Chubbuck","ID","83202","lewisclark"
"Salt Lake Donor Center","http://www.redcrossblood.org/donation-centers//locations/salt-lake-donor-center","6616 South 900 East","","Salt Lake City","UT","84121","lewisclark"
"St. George Donor Center","http://www.redcrossblood.org/donation-centers//locations/st-george-donor-center","476 E Riverside Drive Suite B-6","","St George","UT","84790","lewisclark"
"Newark Donor Center","http://www.redcrossblood.org/donation-centers//locations/newark-donor-center","Cedar Village Shopping Plaza","39227 Cedar Blvd.","Newark","CA","94560","northernca"
"Oakland Donor Center","http://www.redcrossblood.org/donation-centers//locations/oakland-blood-center","6230 Claremont Avenue","","Oakland","CA","94618","northernca"
"Pleasant Hill Donor Center","http://www.redcrossblood.org/donation-centers//locations/pleasant-hill-donor-center","140 Gregory Lane, Suite 120","","Pleasant Hill","CA","94523","northernca"
"Pleasanton Donor Center","http://www.redcrossblood.org/donation-centers//locations/pleasanton-donor-center","5556-B Springdale Avenue","","Pleasanton","CA","94588","northernca"
"San Jose Donor Center","http://www.redcrossblood.org/donation-centers//locations/san-jose-blood-center","2731 N First Street","","San Jose","CA","95134","northernca"
"Fountain Valley Donor Center","http://www.redcrossblood.org/donation-centers//locations/fountain-valley-donor-center","17800 Newhope Street, Suite A","","Fountain Valley","CA","92708","socal"
"Fullerton Donor Center","http://www.redcrossblood.org/donation-centers//locations/fullerton-donor-center","1144 Rosecrans Avenue","","Fullerton","CA","92833","socal"
"Kearny Mesa","http://www.redcrossblood.org/donation-centers//locations/kearny-mesa","4229 Ponderosa Ave Ste C","","San Diego","CA","92123","socal"
"Laguna Hills Donor Center","http://www.redcrossblood.org/donation-centers//locations/laguna-hills-donor-center","22971 Mill Creek Drive","","Laguna Hills","CA","92653","socal"
"Long Beach Donor Center","http://www.redcrossblood.org/donation-centers//locations/long-beach-donor-center","3150 E 29th Street","","Long Beach","CA","90806","socal"
"Pasadena Donor Center","http://www.redcrossblood.org/donation-centers//locations/pasadena-donor-center","133 N Altadena Drive, Suite 103","","Pasadena","CA","91107","socal"
"Pomona Donor Center","http://www.redcrossblood.org/donation-centers//locations/pomona-donor-center","100 Red Cross Circle","","Pomona","CA","91768","socal"
"Santa Ana Donor Center","http://www.redcrossblood.org/donation-centers//locations/santa-ana-donor-center","600 Park Center Drive","","Santa Ana","CA","92705","socal"
"Torrance Donor Center","http://www.redcrossblood.org/donation-centers//locations/torrance-donor-center","2814 Sepulveda Blvd, Suite #E","","Torrance","CA","90505","socal"
"West Los Angeles Donor Center","http://www.redcrossblood.org/donation-centers//locations/west-los-angeles-donor-center","11355 Ohio Avenue","","West Los Angeles","CA","90025","socal"
"Woodland Hills Donor Center","http://www.redcrossblood.org/donation-centers//locations/woodland-hills-donor-center","6338 Variel Avenue","","Woodland Hills","CA","91367","socal"
"Central Oregon Donor Center","http://www.redcrossblood.org/donation-centers//locations/central-oregon-donor-center","815 SW Bond St","Suite 110","Bend","OR","97702","pnw"
"Clark County Donor Center","http://www.redcrossblood.org/donation-centers//locations/clark-county-donor-center","5109 NE 82nd Avenue","","Vancouver","WA","98662","pnw"
"Klamath Falls Donor Center","http://www.redcrossblood.org/donation-centers//locations/klamath-falls-donor-center","2312 S 6th Street, Suite B","","Klamath Falls","OR","97603","pnw"
"Medford Donor Center","http://www.redcrossblood.org/donation-centers//locations/medford-donor-center","1174 Progress Drive, Suite 102","Located in the same building as the DMV","Medford","OR","97504","pnw"
"Portland Donor Center","http://www.redcrossblood.org/donation-centers//locations/portland-donor-center","3131 N Vancouver Avenue","","Portland","OR","97227","pnw"
"Roseburg Donor Center","http://www.redcrossblood.org/donation-centers//locations/roseburg-donor-center","1176 NW Garden Valley Blvd","","Roseburg","OR","97471-1923","pnw"
"Salem Donor Center","http://www.redcrossblood.org/donation-centers//locations/salem-donor-center","475 Cottage Street NE, Suite 110","","Salem","OR","97301","pnw"
"Tri-Cities Donor Center","http://www.redcrossblood.org/donation-centers//locations/tri-cities-donor-center","447 Wellsian Way","","Richland","WA","99352","pnw"
"Yakima Donor Center","http://www.redcrossblood.org/donation-centers//locations/yakima-donor-center","302 S 2nd Street","","Yakima","WA","98901","pnw"
"East Omaha Blood Donation Center","http://www.redcrossblood.org/donation-centers//locations/east-omaha-blood-donation-center","3838 Dewey Avenue","","Omaha","NE","68105","midwest"
"Grand Island Blood Donation Center","http://www.redcrossblood.org/donation-centers//locations/grand-island-blood-donation-center","404 East 3rd Street","","Grand Island","NE","68801","midwest"
"Kearney Blood Donation Center","http://www.redcrossblood.org/donation-centers//locations/kearney-blood-donation-center","520 W 48th St","","Kearney","NE","68845","midwest"
"Loess Hills Blood Donation Center","http://www.redcrossblood.org/donation-centers//locations/loess-hills-blood-donation-center","705 North 16th Street","","Council Bluffs","IA","51503","midwest"
"North Platte Blood Donation Center","http://www.redcrossblood.org/donation-centers//locations/north-platte-blood-donation-center","1111 South Cottonwood Street","","North Platte","NE","69101","midwest"
"West Omaha Blood Donation Center","http://www.redcrossblood.org/donation-centers//locations/west-omaha-blood-donation-center","729  North 132 Street","","Omaha","NE","68154","midwest"
"Tulsa 11th Street Center","http://www.redcrossblood.org/donation-centers//locations/tulsa-11th-street-center","10151 E. 11th Street","","Tulsa","OK","74128","southwest"
"Dubuque Blood Donation Center","http://www.redcrossblood.org/donation-centers//locations/dubuque-blood-donation-center","2400 Asbury Rd","","Dubuque","IA","52001","badgerhawkeye"
"Green Bay Blood Donation Center","http://www.redcrossblood.org/donation-centers//locations/green-bay-blood-donation-center","2131 Deckner Avenue","","Green Bay","WI","54308","badgerhawkeye"
"La Crosse Blood Donor Center","http://www.redcrossblood.org/donation-centers//locations/la-crosse-blood-donor-center","1427 Hwy 16","","La Crosse","WI","54601","badgerhawkeye"
"Madison East Blood Donation Center","http://www.redcrossblood.org/donation-centers//locations/madison-east-blood-donation-center","2109 Zeier Road","","Madison","WI","53704","badgerhawkeye"
"Madison West Blood Donation Center","http://www.redcrossblood.org/donation-centers//locations/madison-west-blood-donation-center","4860 Sheboygan Ave","","Madison","WI","53705","badgerhawkeye"
"Stevens Point Blood Donation Center","http://www.redcrossblood.org/donation-centers//locations/stevens-point-blood-donation-center","3201 Main Street","","Stevens Point","WI","54481","badgerhawkeye"
"Waterloo Blood Donation Center","http://www.redcrossblood.org/donation-centers//locations/waterloo-blood-donation-center","2530 University Ave","","Waterloo","IA","50701","badgerhawkeye"
"Waukesha Blood Donation Center","http://www.redcrossblood.org/donation-centers//locations/waukesha-blood-donation-center","2220 Silvernail Rd","","Pewaukee","WI","53072","badgerhawkeye"
"Hays Blood Donor Center","http://www.redcrossblood.org/donation-centers//locations/hays-blood-donor-center","208 East 8th St.","","Hays","KS","67601","centralplains"
"Northwest Blood Donor Center","http://www.redcrossblood.org/donation-centers//locations/northwest-blood-donor-center","8414 West 13th Street, North","Suite 200 and 210","Wichita","KS","67212","centralplains"
"Ponca City Chapter Express","http://www.redcrossblood.org/donation-centers//locations/ponca-city-chapter-express","216 E. Grand Ave.","","Ponca City","OK","74601","centralplains"
"Spirit AeroSystems Blood Donor Center","http://www.redcrossblood.org/donation-centers//locations/spirit-aerosystems-blood-donor-center","3801 South Oliver","","Wichita","KS","67210","centralplains"
"W.H. Helen M. Graves Blood Platelet Center","http://www.redcrossblood.org/donation-centers//locations/wh-helen-m-graves-blood-platelet-center","120 West Prescott","","Salina","KS","67401","centralplains"
"Wichita Blood Donor Center","http://www.redcrossblood.org/donation-centers//locations/wichita-blood-donor-center","707 North Main Street","","Wichita","KS","67203","centralplains"
"Adams County Blood Donation Center","http://www.redcrossblood.org/donation-centers//locations/adams-county-blood-donation-center","3000 N 23rd Street","","Quincy","IL","62305","heartofamerica"
"Galesburg Chapter Blood Donation Center","http://www.redcrossblood.org/donation-centers//locations/galesburg-chapter-blood-donation-center","143 E. Main","","Galesburg","IL","61401","heartofamerica"
"Heartland Chapter Blood Donation Center","http://www.redcrossblood.org/donation-centers//locations/heartland-chapter-blood-donation-center","1 Westport Court","","Bloomington","IL","61704","heartofamerica"
"Kankakee Blood Donation Center","http://www.redcrossblood.org/donation-centers//locations/kankakee-blood-donation-center","20 Heritage Drive","","Bourbonnais","IL","60914","heartofamerica"
"Macon CD Blood Donation Center","http://www.redcrossblood.org/donation-centers//locations/macon-cd-blood-donation-center","2674 N Main St","","Decatur","IL","62526","heartofamerica"
"Peoria Blood Donation Center","http://www.redcrossblood.org/donation-centers//locations/peoria-blood-donation-center","405 W. John H Gwynn Jr Ave","","Peoria","IL","61605","heartofamerica"
"Rock Falls Chapter Blood Donation Center","http://www.redcrossblood.org/donation-centers//locations/rock-falls-chapter-blood-donation-center","112 W. 2nd Street","","Rock Falls","IL","61071","heartofamerica"
